site_id,date,time,aqi,status
22,2024-08-31,23,62,Moderate
31,2024-08-31,23,50,Good
23,2024-08-31,23,45,Good
24,2024-08-31,23,42,Good
25,2024-08-31,23,50,Good
26,2024-08-31,23,40,Good
27,2024-08-31,23,39,Good
28,2024-08-31,23,44,Good
29,2024-08-31,23,46,Good
30,2024-08-31,23,49,Good
32,2024-08-31,23,44,Good
20,2024-08-31,23,58,Moderate
34,2024-08-31,23,45,Good
35,2024-08-31,23,62,Moderate
36,2024-08-31,23,58,Moderate
37,2024-08-31,23,61,Moderate
38,2024-08-31,23,63,Moderate
39,2024-08-31,23,43,Good
40,2024-08-31,23,41,Good
41,2024-08-31,23,44,Good
21,2024-08-31,23,60,Moderate
19,2024-08-31,23,65,Moderate
43,2024-08-31,23,38,Good
8,2024-08-31,23,65,Moderate
313,2024-08-31,23,13,Good
1,2024-08-31,23,58,Moderate
2,2024-08-31,23,66,Moderate
3,2024-08-31,23,59,Moderate
4,2024-08-31,23,66,Moderate
5,2024-08-31,23,61,Moderate
6,2024-08-31,23,57,Moderate
7,2024-08-31,23,64,Moderate
9,2024-08-31,23,61,Moderate
18,2024-08-31,23,59,Moderate
10,2024-08-31,23,51,Moderate
11,2024-08-31,23,41,Good
12,2024-08-31,23,64,Moderate
13,2024-08-31,23,56,Moderate
14,2024-08-31,23,65,Moderate
15,2024-08-31,23,67,Moderate
16,2024-08-31,23,77,Moderate
17,2024-08-31,23,55,Moderate
42,2024-08-31,23,41,Good
33,2024-08-31,23,54,Moderate
44,2024-08-31,23,42,Good
65,2024-08-31,23,51,Moderate
67,2024-08-31,23,69,Moderate
68,2024-08-31,23,65,Moderate
69,2024-08-31,23,63,Moderate
70,2024-08-31,23,63,Moderate
71,2024-08-31,23,36,Good
72,2024-08-31,23,45,Good
75,2024-08-31,23,42,Good
45,2024-08-31,23,41,Good
78,2024-08-31,23,74,Moderate
80,2024-08-31,23,19,Good
83,2024-08-31,23,46,Good
84,2024-08-31,23,48,Good
85,2024-08-31,23,43,Good
201,2024-08-31,23,68,Moderate
202,2024-08-31,23,37,Good
203,2024-08-31,23,41,Good
204,2024-08-31,23,43,Good
311,2024-08-31,23,55,Moderate
312,2024-08-31,23,NULL,NULL
66,2024-08-31,23,48,Good
77,2024-08-31,23,45,Good
64,2024-08-31,23,37,Good
54,2024-08-31,23,38,Good
47,2024-08-31,23,43,Good
48,2024-08-31,23,40,Good
49,2024-08-31,23,39,Good
50,2024-08-31,23,38,Good
51,2024-08-31,23,50,Good
52,2024-08-31,23,38,Good
53,2024-08-31,23,38,Good
46,2024-08-31,23,42,Good
56,2024-08-31,23,37,Good
58,2024-08-31,23,35,Good
59,2024-08-31,23,36,Good
60,2024-08-31,23,28,Good
61,2024-08-31,23,19,Good
62,2024-08-31,23,19,Good
63,2024-08-31,23,19,Good
57,2024-08-31,23,42,Good
26,2024-08-31,22,41,Good
29,2024-08-31,22,47,Good
28,2024-08-31,22,47,Good
27,2024-08-31,22,42,Good
23,2024-08-31,22,47,Good
25,2024-08-31,22,52,Moderate
24,2024-08-31,22,44,Good
31,2024-08-31,22,52,Moderate
21,2024-08-31,22,60,Moderate
30,2024-08-31,22,53,Moderate
35,2024-08-31,22,63,Moderate
32,2024-08-31,22,44,Good
33,2024-08-31,22,54,Moderate
34,2024-08-31,22,46,Good
36,2024-08-31,22,61,Moderate
37,2024-08-31,22,61,Moderate
38,2024-08-31,22,61,Moderate
39,2024-08-31,22,42,Good
40,2024-08-31,22,39,Good
19,2024-08-31,22,67,Moderate
20,2024-08-31,22,59,Moderate
22,2024-08-31,22,66,Moderate
18,2024-08-31,22,62,Moderate
7,2024-08-31,22,63,Moderate
42,2024-08-31,22,44,Good
78,2024-08-31,22,74,Moderate
1,2024-08-31,22,71,Moderate
2,2024-08-31,22,67,Moderate
3,2024-08-31,22,57,Moderate
4,2024-08-31,22,67,Moderate
5,2024-08-31,22,60,Moderate
6,2024-08-31,22,58,Moderate
8,2024-08-31,22,69,Moderate
17,2024-08-31,22,56,Moderate
9,2024-08-31,22,60,Moderate
10,2024-08-31,22,50,Good
11,2024-08-31,22,45,Good
12,2024-08-31,22,65,Moderate
13,2024-08-31,22,58,Moderate
14,2024-08-31,22,67,Moderate
15,2024-08-31,22,68,Moderate
16,2024-08-31,22,79,Moderate
41,2024-08-31,22,44,Good
66,2024-08-31,22,43,Good
43,2024-08-31,22,42,Good
83,2024-08-31,22,45,Good
68,2024-08-31,22,67,Moderate
69,2024-08-31,22,65,Moderate
70,2024-08-31,22,64,Moderate
71,2024-08-31,22,38,Good
72,2024-08-31,22,51,Moderate
75,2024-08-31,22,43,Good
77,2024-08-31,22,44,Good
80,2024-08-31,22,20,Good
84,2024-08-31,22,49,Good
65,2024-08-31,22,51,Moderate
85,2024-08-31,22,43,Good
201,2024-08-31,22,66,Moderate
202,2024-08-31,22,38,Good
203,2024-08-31,22,44,Good
204,2024-08-31,22,48,Good
311,2024-08-31,22,55,Moderate
312,2024-08-31,22,NULL,NULL
44,2024-08-31,22,44,Good
67,2024-08-31,22,72,Moderate
313,2024-08-31,22,16,Good
64,2024-08-31,22,38,Good
54,2024-08-31,22,41,Good
46,2024-08-31,22,43,Good
47,2024-08-31,22,45,Good
48,2024-08-31,22,41,Good
49,2024-08-31,22,41,Good
50,2024-08-31,22,41,Good
51,2024-08-31,22,50,Good
52,2024-08-31,22,41,Good
53,2024-08-31,22,41,Good
45,2024-08-31,22,42,Good
56,2024-08-31,22,39,Good
58,2024-08-31,22,39,Good
59,2024-08-31,22,42,Good
60,2024-08-31,22,32,Good
61,2024-08-31,22,19,Good
62,2024-08-31,22,19,Good
63,2024-08-31,22,20,Good
57,2024-08-31,22,45,Good
59,2024-08-31,21,47,Good
56,2024-08-31,21,41,Good
57,2024-08-31,21,49,Good
58,2024-08-31,21,46,Good
62,2024-08-31,21,19,Good
60,2024-08-31,21,38,Good
61,2024-08-31,21,19,Good
53,2024-08-31,21,44,Good
63,2024-08-31,21,21,Good
54,2024-08-31,21,43,Good
49,2024-08-31,21,44,Good
52,2024-08-31,21,45,Good
51,2024-08-31,21,52,Moderate
50,2024-08-31,21,44,Good
48,2024-08-31,21,45,Good
47,2024-08-31,21,48,Good
46,2024-08-31,21,44,Good
45,2024-08-31,21,44,Good
66,2024-08-31,21,39,Good
44,2024-08-31,21,46,Good
65,2024-08-31,21,47,Good
78,2024-08-31,21,71,Moderate
67,2024-08-31,21,74,Moderate
84,2024-08-31,21,49,Good
313,2024-08-31,21,19,Good
312,2024-08-31,21,NULL,NULL
311,2024-08-31,21,58,Moderate
204,2024-08-31,21,52,Moderate
203,2024-08-31,21,49,Good
202,2024-08-31,21,40,Good
201,2024-08-31,21,66,Moderate
85,2024-08-31,21,44,Good
83,2024-08-31,21,44,Good
68,2024-08-31,21,67,Moderate
80,2024-08-31,21,19,Good
42,2024-08-31,21,47,Good
77,2024-08-31,21,43,Good
75,2024-08-31,21,45,Good
72,2024-08-31,21,71,Moderate
71,2024-08-31,21,44,Good
70,2024-08-31,21,67,Moderate
69,2024-08-31,21,64,Moderate
43,2024-08-31,21,44,Good
64,2024-08-31,21,40,Good
41,2024-08-31,21,42,Good
10,2024-08-31,21,52,Moderate
18,2024-08-31,21,57,Moderate
17,2024-08-31,21,55,Moderate
16,2024-08-31,21,80,Moderate
15,2024-08-31,21,67,Moderate
14,2024-08-31,21,68,Moderate
13,2024-08-31,21,61,Moderate
1,2024-08-31,21,84,Moderate
11,2024-08-31,21,48,Good
9,2024-08-31,21,57,Moderate
20,2024-08-31,21,59,Moderate
8,2024-08-31,21,69,Moderate
7,2024-08-31,21,65,Moderate
6,2024-08-31,21,67,Moderate
5,2024-08-31,21,71,Moderate
4,2024-08-31,21,67,Moderate
3,2024-08-31,21,54,Moderate
2,2024-08-31,21,66,Moderate
40,2024-08-31,21,41,Good
19,2024-08-31,21,68,Moderate
12,2024-08-31,21,67,Moderate
21,2024-08-31,21,64,Moderate
30,2024-08-31,21,53,Moderate
38,2024-08-31,21,60,Moderate
37,2024-08-31,21,58,Moderate
36,2024-08-31,21,60,Moderate
35,2024-08-31,21,63,Moderate
34,2024-08-31,21,45,Good
33,2024-08-31,21,55,Moderate
32,2024-08-31,21,48,Good
31,2024-08-31,21,52,Moderate
39,2024-08-31,21,45,Good
29,2024-08-31,21,45,Good
28,2024-08-31,21,47,Good
27,2024-08-31,21,46,Good
26,2024-08-31,21,45,Good
25,2024-08-31,21,51,Moderate
24,2024-08-31,21,45,Good
