site_id,site_name,county
1,Keelung,"Keelung City"
2,Xizhi,"New Taipei City"
3,Wanli,"New Taipei City"
4,Xindian,"New Taipei City"
5,Tucheng,"New Taipei City"
6,Banqiao,"New Taipei City"
7,Xinzhuang,"New Taipei City"
8,Cailiao,"New Taipei City"
9,Linkou,"New Taipei City"
10,Tamsui,"New Taipei City"
11,Shilin,"Taipei City"
12,Zhongshan,"Taipei City"
13,Wanhua,"Taipei City"
14,Guting,"Taipei City"
15,Songshan,"Taipei City"
16,Datong,"Taipei City"
17,Taoyuan,"Taoyuan City"
18,Dayuan,"Taoyuan City"
19,Guanyin,"Taoyuan City"
20,Pingzhen,"Taoyuan City"
21,Longtan,"Taoyuan City"
22,Hukou,"Hsinchu County"
23,Zhudong,"Hsinchu County"
24,Hsinchu,"Hsinchu City"
25,Toufen,"Miaoli County"
26,Miaoli,"Miaoli County"
27,Sanyi,"Miaoli County"
28,Fengyuan,"Taichung City"
29,Shalu,"Taichung City"
30,Dali,"Taichung City"
31,Zhongming,"Taichung City"
32,Xitun,"Taichung City"
33,Changhua,"Changhua County"
34,Xianxi,"Changhua County"
35,Erlin,"Changhua County"
36,Nantou,"Nantou County"
37,Douliu,"Yunlin County"
38,Lunbei,"Yunlin County"
39,Xingang,"Chiayi County"
40,Puzi,"Chiayi County"
41,Taixi,"Yunlin County"
42,Chiayi,"Chiayi City"
43,Xinying,"Tainan City"
44,Shanhua,"Tainan City"
45,Annan,"Tainan City"
46,Tainan,"Tainan City"
47,Meinong,"Kaohsiung City"
48,Qiaotou,"Kaohsiung City"
49,Renwu,"Kaohsiung City"
50,Fengshan,"Kaohsiung City"
51,Daliao,"Kaohsiung City"
52,Linyuan,"Kaohsiung City"
53,Nanzi,"Kaohsiung City"
54,Zuoying,"Kaohsiung City"
56,Qianjin,"Kaohsiung City"
57,Qianzhen,"Kaohsiung City"
58,Xiaogang,"Kaohsiung City"
59,Pingtung,"Pingtung County"
60,Chaozhou,"Pingtung County"
61,Hengchun,"Pingtung County"
62,Taitung,"Taitung County"
63,Hualien,"Hualien County"
64,Yangming,"Taipei City"
65,Yilan,"Yilan County"
66,Dongshan,"Yilan County"
67,Sanchong,"New Taipei City"
68,Zhongli,"Taoyuan City"
69,Zhushan,"Nantou County"
70,Yonghe,"New Taipei City"
71,Fuxing,"Kaohsiung City"
72,Puli,"Nantou County"
75,Matsu,"Lienchiang County"
77,Kinmen,"Kinmen County"
78,Magong,"Penghu County"
80,Guanshan,"Taitung County"
83,Mailiao,"Yunlin County"
84,"Fugui Cape","New Taipei City"
85,Dacheng,"Changhua County"
201,"Changhua (Yuanlin)","Changhua County"
202,"Kaohsiung (Hunei)","Kaohsiung City"
203,"Tainan (Madou)","Tainan City"
204,"Pingtung (Liuqiu)","Pingtung County"
311,"New Taipei (Shulin)","New Taipei City"
312,"Dajia (Rinan Elementary School)","Taichung City"
313,"Pingtung (Fangshan)","Pingtung County"
