date,sitename,county,aqi,status,so2,co,o3,pm10,pm2.5,no2,nox,no,siteid
8/31/2024 23:00,Hukou,Hsinchu County,62,Moderate,0.9,0.17,35,18,17,2.3,2.6,0.3,22
8/31/2024 23:00,Zhongming,Taichung City,50,Good,1.6,0.32,27.9,27,14,7.6,9.3,1.6,31
8/31/2024 23:00,Zhudong,Hsinchu County,45,Good,0.4,0.17,25.1,21,13,2.9,4.1,1.1,23
8/31/2024 23:00,Hsinchu,Hsinchu City,42,Good,0.8,0.2,30,19,10,4,4.8,0.7,24
8/31/2024 23:00,Toufen,Miaoli County,50,Good,1,0.16,33.5,18,14,1.8,3.1,1.2,25
8/31/2024 23:00,Miaoli,Miaoli County,40,Good,1.1,0.17,35.2,15,12,4,5.1,1.1,26
8/31/2024 23:00,Sanyi,Miaoli County,39,Good,0.9,0.18,35.3,14,9,2.4,3.1,0.7,27
8/31/2024 23:00,Fengyuan,Taichung City,44,Good,1.3,0.24,24.6,21,12,6.8,7.3,0.5,28
8/31/2024 23:00,Shalu,Taichung City,46,Good,2.5,0.2,30.3,33,16,7.3,7.7,0.3,29
8/31/2024 23:00,Dali,Taichung City,49,Good,0.7,0.24,29.4,20,12,5.6,6.3,0.7,30
8/31/2024 23:00,Xitun,Taichung City,44,Good,1.9,0.22,28.5,32,17,7.3,7.7,0.4,32
8/31/2024 23:00,Pingzhen,Taoyuan City,58,Moderate,0.1,0.24,23.3,29,18,9.8,10.5,0.7,20
8/31/2024 23:00,Xianxi,Changhua County,45,Good,0.9,0.19,41.4,34,12,3.5,3.8,0.3,34
8/31/2024 23:00,Erlin,Changhua County,62,Moderate,0.2,0.18,31.2,37,21,2.7,3.8,1.1,35
8/31/2024 23:00,Nantou,Nantou County,58,Moderate,0.9,0.17,35.6,17,13,3.7,4.7,1,36
8/31/2024 23:00,Douliu,Yunlin County,61,Moderate,1,0.2,30.5,31,19,5.3,6,0.7,37
8/31/2024 23:00,Lunbei,Yunlin County,63,Moderate,0.3,0.19,32,37,29,2.1,3.6,1.4,38
8/31/2024 23:00,Xingang,Chiayi County,43,Good,1.5,0.19,33.5,30,18,4.2,4.5,0.3,39
8/31/2024 23:00,Puzi,Chiayi County,41,Good,1.4,0.25,35.5,25,19,6.6,7.7,1.1,40
8/31/2024 23:00,Taixi,Yunlin County,44,Good,0.6,0.16,36.2,24,15,2.8,4,1.1,41
8/31/2024 23:00,Longtan,Taoyuan City,60,Moderate,1.8,0.18,26.9,26,20,4.6,5.2,0.6,21
8/31/2024 23:00,Guanyin,Taoyuan City,65,Moderate,1.4,0.13,30.6,24,17,8,8.3,0.3,19
8/31/2024 23:00,Xinying,Tainan City,38,Good,0.8,0.33,28.9,21,13,10.5,12,1.4,43
8/31/2024 23:00,Cailiao,New Taipei City,65,Moderate,0.9,0.35,36.5,19,15,10.7,12,1.2,8
8/31/2024 23:00,Pingtung (Fangshan),Pingtung County,13,Good,0.3,0.06,15.1,15,4,0.9,1.4,0.4,313
8/31/2024 23:00,Keelung,Keelung City,58,Moderate,1.5,0.34,28,22,16,9.6,10,0.4,1
8/31/2024 23:00,Xizhi,New Taipei City,66,Moderate,0.6,0.34,23.5,25,21,14.3,16,1.7,2
8/31/2024 23:00,Wanli,New Taipei City,59,Moderate,0.3,0.24,25.5,26,19,4.6,5.3,0.6,3
8/31/2024 23:00,Xindian,New Taipei City,66,Moderate,1.1,0.29,25.6,32,19,8.9,9.6,0.7,4
8/31/2024 23:00,Tucheng,New Taipei City,61,Moderate,0.4,0.36,18.5,31,20,14.7,15.3,0.6,5
8/31/2024 23:00,Banqiao,New Taipei City,57,Moderate,2.1,0.41,25.6,27,18,14.3,16,1.7,6
8/31/2024 23:00,Xinzhuang,New Taipei City,64,Moderate,1.5,0.39,29.2,32,25,11.8,12.4,0.5,7
8/31/2024 23:00,Linkou,New Taipei City,61,Moderate,1,0.35,28,32,23,15.3,16.3,1,9
8/31/2024 23:00,Dayuan,Taoyuan City,59,Moderate,1,0.27,25.7,25,12,12.4,13.3,0.9,18
8/31/2024 23:00,Tamsui,New Taipei City,51,Moderate,0.8,0.4,26.6,19,15,12.9,13.8,0.8,10
8/31/2024 23:00,Shilin,Taipei City,41,Good,0.4,0.31,25.8,18,14,13,13.6,0.6,11
8/31/2024 23:00,Zhongshan,Taipei City,64,Moderate,1.1,0.44,28,29,20,19.5,20.2,0.6,12
8/31/2024 23:00,Wanhua,Taipei City,56,Moderate,1.2,0.43,29,29,13,16.3,17.2,0.9,13
