date,sitename,county,aqi,status,so2,co,o3,pm10,pm2.5,no2,nox,no,siteid
2024-08-31 23:00:00,Hukou,Hsinchu County,62.0,Moderate,0.9,0.17,35.0,18.0,17.0,2.3,2.6,0.3,22
2024-08-31 23:00:00,Zhongming,Taichung City,50.0,Good,1.6,0.32,27.9,27.0,14.0,7.6,9.3,1.6,31
2024-08-31 23:00:00,Zhudong,Hsinchu County,45.0,Good,0.4,0.17,25.1,21.0,13.0,2.9,4.1,1.1,23
2024-08-31 23:00:00,Hsinchu,Hsinchu City,42.0,Good,0.8,0.2,30.0,19.0,10.0,4.0,4.8,0.7,24
2024-08-31 23:00:00,Toufen,Miaoli County,50.0,Good,1.0,0.16,33.5,18.0,14.0,1.8,3.1,1.2,25
2024-08-31 23:00:00,Miaoli,Miaoli County,40.0,Good,1.1,0.17,35.2,15.0,12.0,4.0,5.1,1.1,26
2024-08-31 23:00:00,Sanyi,Miaoli County,39.0,Good,0.9,0.18,35.3,14.0,9.0,2.4,3.1,0.7,27
2024-08-31 23:00:00,Fengyuan,Taichung City,44.0,Good,1.3,0.24,24.6,21.0,12.0,6.8,7.3,0.5,28
2024-08-31 23:00:00,Shalu,Taichung City,46.0,Good,2.5,0.2,30.3,33.0,16.0,7.3,7.7,0.3,29
2024-08-31 23:00:00,Dali,Taichung City,49.0,Good,0.7,0.24,29.4,20.0,12.0,5.6,6.3,0.7,30
2024-08-31 23:00:00,Xitun,Taichung City,44.0,Good,1.9,0.22,28.5,32.0,17.0,7.3,7.7,0.4,32
2024-08-31 23:00:00,Pingzhen,Taoyuan City,58.0,Moderate,0.1,0.24,23.3,29.0,18.0,9.8,10.5,0.7,20
2024-08-31 23:00:00,Xianxi,Changhua County,45.0,Good,0.9,0.19,41.4,34.0,12.0,3.5,3.8,0.3,34
2024-08-31 23:00:00,Erlin,Changhua County,62.0,Moderate,0.2,0.18,31.2,37.0,21.0,2.7,3.8,1.1,35
2024-08-31 23:00:00,Nantou,Nantou County,58.0,Moderate,0.9,0.17,35.6,17.0,13.0,3.7,4.7,1.0,36
2024-08-31 23:00:00,Douliu,Yunlin County,61.0,Moderate,1.0,0.2,30.5,31.0,19.0,5.3,6.0,0.7,37
2024-08-31 23:00:00,Lunbei,Yunlin County,63.0,Moderate,0.3,0.19,32.0,37.0,29.0,2.1,3.6,1.4,38
2024-08-31 23:00:00,Xingang,Chiayi County,43.0,Good,1.5,0.19,33.5,30.0,18.0,4.2,4.5,0.3,39
2024-08-31 23:00:00,Puzi,Chiayi County,41.0,Good,1.4,0.25,35.5,25.0,19.0,6.6,7.7,1.1,40
2024-08-31 23:00:00,Taixi,Yunlin County,44.0,Good,0.6,0.16,36.2,24.0,15.0,2.8,4.0,1.1,41
2024-08-31 23:00:00,Longtan,Taoyuan City,60.0,Moderate,1.8,0.18,26.9,26.0,20.0,4.6,5.2,0.6,21
2024-08-31 23:00:00,Guanyin,Taoyuan City,65.0,Moderate,1.4,0.13,30.6,24.0,17.0,8.0,8.3,0.3,19
2024-08-31 23:00:00,Xinying,Tainan City,38.0,Good,0.8,0.33,28.9,21.0,13.0,10.5,12.0,1.4,43
2024-08-31 23:00:00,Cailiao,New Taipei City,65.0,Moderate,0.9,0.35,36.5,19.0,15.0,10.7,12.0,1.2,8
2024-08-31 23:00:00,Pingtung (Fangshan),Pingtung County,13.0,Good,0.3,0.06,15.1,15.0,4.0,0.9,1.4,0.4,313
2024-08-31 23:00:00,Keelung,Keelung City,58.0,Moderate,1.5,0.34,28.0,22.0,16.0,9.6,10.0,0.4,1
2024-08-31 23:00:00,Xizhi,New Taipei City,66.0,Moderate,0.6,0.34,23.5,25.0,21.0,14.3,16.0,1.7,2
2024-08-31 23:00:00,Wanli,New Taipei City,59.0,Moderate,0.3,0.24,25.5,26.0,19.0,4.6,5.3,0.6,3
2024-08-31 23:00:00,Xindian,New Taipei City,66.0,Moderate,1.1,0.29,25.6,32.0,19.0,8.9,9.6,0.7,4
2024-08-31 23:00:00,Tucheng,New Taipei City,61.0,Moderate,0.4,0.36,18.5,31.0,20.0,14.7,15.3,0.6,5
2024-08-31 23:00:00,Banqiao,New Taipei City,57.0,Moderate,2.1,0.41,25.6,27.0,18.0,14.3,16.0,1.7,6
2024-08-31 23:00:00,Xinzhuang,New Taipei City,64.0,Moderate,1.5,0.39,29.2,32.0,25.0,11.8,12.4,0.5,7
2024-08-31 23:00:00,Linkou,New Taipei City,61.0,Moderate,1.0,0.35,28.0,32.0,23.0,15.3,16.3,1.0,9
2024-08-31 23:00:00,Dayuan,Taoyuan City,59.0,Moderate,1.0,0.27,25.7,25.0,12.0,12.4,13.3,0.9,18
2024-08-31 23:00:00,Tamsui,New Taipei City,51.0,Moderate,0.8,0.4,26.6,19.0,15.0,12.9,13.8,0.8,10
2024-08-31 23:00:00,Shilin,Taipei City,41.0,Good,0.4,0.31,25.8,18.0,14.0,13.0,13.6,0.6,11
2024-08-31 23:00:00,Zhongshan,Taipei City,64.0,Moderate,1.1,0.44,28.0,29.0,20.0,19.5,20.2,0.6,12
2024-08-31 23:00:00,Wanhua,Taipei City,56.0,Moderate,1.2,0.43,29.0,29.0,13.0,16.3,17.2,0.9,13
2024-08-31 23:00:00,Guting,Taipei City,65.0,Moderate,1.5,0.3,32.6,25.0,20.0,10.6,11.4,0.8,14
2024-08-31 23:00:00,Songshan,Taipei City,67.0,Moderate,1.0,0.28,35.1,30.0,22.0,11.6,12.3,0.6,15
2024-08-31 23:00:00,Datong,Taipei City,77.0,Moderate,1.2,0.89,19.7,33.0,24.0,27.2,38.8,11.5,16
2024-08-31 23:00:00,Taoyuan,Taoyuan City,55.0,Moderate,0.8,0.24,28.9,20.0,17.0,7.9,8.9,0.9,17
2024-08-31 23:00:00,Chiayi,Chiayi City,41.0,Good,0.9,0.22,34.3,15.0,1.0,5.0,5.1,0.0,42
2024-08-31 23:00:00,Changhua,Changhua County,54.0,Moderate,2.1,0.31,29.4,27.0,18.0,6.8,7.8,1.0,33
2024-08-31 23:00:00,Shanhua,Tainan City,42.0,Good,2.2,0.22,34.2,18.0,9.0,5.3,6.3,1.0,44
2024-08-31 23:00:00,Yilan,Yilan County,51.0,Moderate,0.5,0.17,28.9,20.0,16.0,3.9,4.3,0.4,65
2024-08-31 23:00:00,Sanchong,New Taipei City,69.0,Moderate,1.3,1.02,17.7,23.0,20.0,28.9,57.8,28.8,67
2024-08-31 23:00:00,Zhongli,Taoyuan City,65.0,Moderate,0.9,0.79,16.9,31.0,19.0,18.1,30.8,12.6,68
2024-08-31 23:00:00,Zhushan,Nantou County,63.0,Moderate,1.2,0.19,25.5,18.0,16.0,4.9,5.9,0.9,69
2024-08-31 23:00:00,Yonghe,New Taipei City,63.0,Moderate,1.0,0.53,26.0,26.0,18.0,13.9,15.5,1.5,70
2024-08-31 23:00:00,Fuxing,Kaohsiung City,36.0,Good,0.3,0.31,35.1,7.0,7.0,11.1,13.6,2.4,71
2024-08-31 23:00:00,Puli,Nantou County,45.0,Good,1.2,0.23,29.9,21.0,7.0,4.4,5.5,1.0,72
2024-08-31 23:00:00,Matsu,Lienchiang County,42.0,Good,0.6,0.18,39.7,28.0,21.0,3.6,4.2,0.5,75
2024-08-31 23:00:00,Annan,Tainan City,41.0,Good,0.6,0.22,38.4,14.0,8.0,5.8,6.1,0.2,45
2024-08-31 23:00:00,Magong,Penghu County,74.0,Moderate,1.5,0.23,58.3,17.0,19.0,1.0,2.8,1.7,78
2024-08-31 23:00:00,Guanshan,Taitung County,19.0,Good,0.9,0.09,8.6,22.0,3.0,1.4,1.5,0.1,80
2024-08-31 23:00:00,Mailiao,Yunlin County,46.0,Good,1.3,0.15,37.6,26.0,17.0,3.1,3.5,0.3,83
2024-08-31 23:00:00,Fugui Cape,New Taipei City,48.0,Good,0.9,0.15,41.6,23.0,15.0,2.4,2.5,0.1,84
2024-08-31 23:00:00,Dacheng,Changhua County,43.0,Good,0.5,0.11,48.1,21.0,16.0,1.7,1.3,0.0,85
2024-08-31 23:00:00,Changhua (Yuanlin),Changhua County,68.0,Moderate,2.7,0.32,27.7,33.0,23.0,6.2,7.8,1.6,201
2024-08-31 23:00:00,Kaohsiung (Hunei),Kaohsiung City,37.0,Good,1.5,0.18,34.0,13.0,5.0,4.5,5.8,1.3,202
2024-08-31 23:00:00,Tainan (Madou),Tainan City,41.0,Good,0.7,0.26,22.9,18.0,7.0,12.5,13.7,1.1,203
2024-08-31 23:00:00,Pingtung (Liuqiu),Pingtung County,43.0,Good,0.4,0.18,36.3,21.0,9.0,3.8,4.1,0.3,204
2024-08-31 23:00:00,New Taipei (Shulin),New Taipei City,55.0,Moderate,0.8,0.31,15.2,35.0,18.0,9.8,10.8,1.0,311
2024-08-31 23:00:00,Dongshan,Yilan County,48.0,Good,0.3,0.19,34.9,21.0,19.0,2.9,3.5,0.5,66
2024-08-31 23:00:00,Kinmen,Kinmen County,45.0,Good,1.7,0.19,22.7,23.0,17.0,15.3,16.2,0.8,77
2024-08-31 23:00:00,Yangming,Taipei City,37.0,Good,1.4,0.16,38.8,17.0,6.0,1.9,2.4,0.5,64
2024-08-31 23:00:00,Zuoying,Kaohsiung City,38.0,Good,2.4,0.3,23.6,21.0,10.0,14.6,15.1,0.5,54
2024-08-31 23:00:00,Meinong,Kaohsiung City,43.0,Good,0.5,0.17,32.4,14.0,4.0,2.4,3.3,0.9,47
2024-08-31 23:00:00,Qiaotou,Kaohsiung City,40.0,Good,0.9,0.19,35.3,12.0,11.0,5.1,5.9,0.8,48
