site_id,date,time,so2,co,o3,no2,nox,no
22,2024-08-31,23,1,0,35,2,3,0
31,2024-08-31,23,2,0,28,8,9,2
23,2024-08-31,23,0,0,25,3,4,1
24,2024-08-31,23,1,0,30,4,5,1
25,2024-08-31,23,1,0,34,2,3,1
26,2024-08-31,23,1,0,35,4,5,1
27,2024-08-31,23,1,0,35,2,3,1
28,2024-08-31,23,1,0,25,7,7,1
29,2024-08-31,23,3,0,30,7,8,0
30,2024-08-31,23,1,0,29,6,6,1
32,2024-08-31,23,2,0,29,7,8,0
20,2024-08-31,23,0,0,23,10,11,1
34,2024-08-31,23,1,0,41,4,4,0
35,2024-08-31,23,0,0,31,3,4,1
36,2024-08-31,23,1,0,36,4,5,1
37,2024-08-31,23,1,0,31,5,6,1
38,2024-08-31,23,0,0,32,2,4,1
39,2024-08-31,23,2,0,34,4,5,0
40,2024-08-31,23,1,0,36,7,8,1
41,2024-08-31,23,1,0,36,3,4,1
21,2024-08-31,23,2,0,27,5,5,1
19,2024-08-31,23,1,0,31,8,8,0
43,2024-08-31,23,1,0,29,11,12,1
8,2024-08-31,23,1,0,37,11,12,1
313,2024-08-31,23,0,0,15,1,1,0
1,2024-08-31,23,2,0,28,10,10,0
2,2024-08-31,23,1,0,24,14,16,2
3,2024-08-31,23,0,0,26,5,5,1
4,2024-08-31,23,1,0,26,9,10,1
5,2024-08-31,23,0,0,19,15,15,1
6,2024-08-31,23,2,0,26,14,16,2
7,2024-08-31,23,2,0,29,12,12,1
9,2024-08-31,23,1,0,28,15,16,1
18,2024-08-31,23,1,0,26,12,13,1
10,2024-08-31,23,1,0,27,13,14,1
11,2024-08-31,23,0,0,26,13,14,1
12,2024-08-31,23,1,0,28,20,20,1
13,2024-08-31,23,1,0,29,16,17,1
14,2024-08-31,23,2,0,33,11,11,1
15,2024-08-31,23,1,0,35,12,12,1
16,2024-08-31,23,1,1,20,27,39,12
17,2024-08-31,23,1,0,29,8,9,1
42,2024-08-31,23,1,0,34,5,5,0
33,2024-08-31,23,2,0,29,7,8,1
44,2024-08-31,23,2,0,34,5,6,1
65,2024-08-31,23,1,0,29,4,4,0
67,2024-08-31,23,1,1,18,29,58,29
68,2024-08-31,23,1,1,17,18,31,13
69,2024-08-31,23,1,0,26,5,6,1
70,2024-08-31,23,1,1,26,14,16,2
71,2024-08-31,23,0,0,35,11,14,2
72,2024-08-31,23,1,0,30,4,6,1
75,2024-08-31,23,1,0,40,4,4,1
45,2024-08-31,23,1,0,38,6,6,0
78,2024-08-31,23,2,0,58,1,3,2
80,2024-08-31,23,1,0,9,1,2,0
83,2024-08-31,23,1,0,38,3,4,0
84,2024-08-31,23,1,0,42,2,3,0
85,2024-08-31,23,1,0,48,NULL,NULL,NULL
201,2024-08-31,23,3,0,28,6,8,2
202,2024-08-31,23,2,0,34,5,6,1
203,2024-08-31,23,1,0,23,13,14,1
204,2024-08-31,23,0,0,36,4,4,0
311,2024-08-31,23,1,0,15,10,11,1
312,2024-08-31,23,NULL,NULL,NULL,NULL,NULL,NULL
66,2024-08-31,23,0,0,35,3,4,1
77,2024-08-31,23,2,0,23,15,16,1
64,2024-08-31,23,1,0,39,2,2,1
54,2024-08-31,23,2,0,24,15,15,1
47,2024-08-31,23,1,0,32,2,3,1
48,2024-08-31,23,1,0,35,5,6,1
49,2024-08-31,23,3,0,27,13,13,0
50,2024-08-31,23,1,0,36,8,8,1
51,2024-08-31,23,1,0,29,8,9,1
52,2024-08-31,23,2,0,30,6,7,1
53,2024-08-31,23,1,0,29,10,11,1
46,2024-08-31,23,0,0,40,8,8,1
56,2024-08-31,23,1,0,29,13,14,1
58,2024-08-31,23,1,0,33,11,13,2
59,2024-08-31,23,1,0,26,8,8,1
60,2024-08-31,23,1,0,20,2,3,1
61,2024-08-31,23,1,0,17,2,3,1
62,2024-08-31,23,2,0,16,5,6,1
63,2024-08-31,23,0,0,18,4,5,1
57,2024-08-31,23,1,0,33,13,14,1
26,2024-08-31,22,1,0,32,3,4,1
29,2024-08-31,22,2,0,35,6,6,0
28,2024-08-31,22,1,0,32,6,6,1
27,2024-08-31,22,1,0,43,2,2,0
23,2024-08-31,22,1,0,27,3,4,1
25,2024-08-31,22,1,0,32,3,5,1
24,2024-08-31,22,1,0,30,7,8,1
31,2024-08-31,22,1,0,31,7,9,2
21,2024-08-31,22,2,0,27,6,7,1
30,2024-08-31,22,1,0,28,7,8,1
35,2024-08-31,22,0,0,38,2,3,1
32,2024-08-31,22,2,0,34,5,6,1
33,2024-08-31,22,3,0,34,6,7,1
34,2024-08-31,22,1,0,42,4,4,0
36,2024-08-31,22,1,0,33,6,7,1
37,2024-08-31,22,1,0,29,5,6,1
38,2024-08-31,22,0,0,29,2,4,1
39,2024-08-31,22,1,0,42,5,5,0
40,2024-08-31,22,2,0,39,7,9,1
19,2024-08-31,22,2,0,31,13,14,0
20,2024-08-31,22,0,0,24,11,12,1
22,2024-08-31,22,1,0,35,8,9,0
18,2024-08-31,22,2,0,33,18,19,1
7,2024-08-31,22,0,0,38,10,11,0
42,2024-08-31,22,1,0,44,4,4,0
78,2024-08-31,22,1,0,64,1,3,2
1,2024-08-31,22,2,0,36,8,9,0
2,2024-08-31,22,1,0,33,13,14,1
3,2024-08-31,22,0,0,24,7,8,1
4,2024-08-31,22,1,0,35,8,9,1
5,2024-08-31,22,1,0,24,15,16,0
6,2024-08-31,22,2,0,39,10,12,1
8,2024-08-31,22,1,0,42,12,13,1
17,2024-08-31,22,1,0,33,11,13,1
9,2024-08-31,22,1,0,35,15,16,1
10,2024-08-31,22,1,0,29,10,11,1
11,2024-08-31,22,1,0,32,14,16,2
12,2024-08-31,22,1,0,38,16,17,1
13,2024-08-31,22,1,0,33,17,17,1
14,2024-08-31,22,2,0,38,11,11,1
15,2024-08-31,22,1,0,32,15,15,1
16,2024-08-31,22,1,1,24,28,42,14
41,2024-08-31,22,1,0,30,5,6,1
66,2024-08-31,22,0,0,35,4,4,1
43,2024-08-31,22,1,0,38,8,10,1
83,2024-08-31,22,1,0,30,5,5,0
68,2024-08-31,22,1,1,16,21,39,18
69,2024-08-31,22,2,0,27,6,7,1
70,2024-08-31,22,1,0,35,11,13,2
71,2024-08-31,22,0,0,37,9,11,2
72,2024-08-31,22,1,0,35,5,6,1
75,2024-08-31,22,1,0,36,5,5,1
77,2024-08-31,22,1,0,20,20,21,1
80,2024-08-31,22,1,0,10,2,2,0
84,2024-08-31,22,1,0,53,3,3,0
65,2024-08-31,22,1,0,37,5,6,1
85,2024-08-31,22,1,0,49,2,1,0
201,2024-08-31,22,2,0,33,6,8,2
202,2024-08-31,22,1,0,37,4,5,1
203,2024-08-31,22,1,0,31,8,10,1
204,2024-08-31,22,0,0,32,3,3,0
311,2024-08-31,22,0,0,13,11,13,2
312,2024-08-31,22,NULL,NULL,NULL,NULL,NULL,NULL
44,2024-08-31,22,1,0,42,3,4,1
67,2024-08-31,22,1,1,23,31,49,19
313,2024-08-31,22,0,0,13,1,2,1
64,2024-08-31,22,2,0,32,1,2,0
54,2024-08-31,22,2,0,34,10,11,1
46,2024-08-31,22,0,0,43,7,7,1
47,2024-08-31,22,1,0,37,3,4,1
48,2024-08-31,22,1,0,37,4,5,1
49,2024-08-31,22,1,0,34,10,11,0
50,2024-08-31,22,1,0,40,7,7,1
51,2024-08-31,22,3,0,26,8,9,1
